Kundenr,Tur-id,Kundenavn,Hvorav PPL frys,Volum,Antall leveranser,PPL,Leveringsdag kunde,Leveringstid kunde fra,Leveringstid kunde til
3054,1052,Bunnpris Skansen,0.0,746.2,1,1.0,Mandag,12:45,14:45
3076,1054,Bunnpris Spjelkavik,1.0,4591.64,1,6.333,Mandag,18:45,20:45
3092,1351,Bunnpris Stad,1.0,9573.6,1,8.332,Mandag,11:40,13:40
6340,1601,Bunnpris Straumgjerde,0.0,1060.57,1,1.0,Mandag,08:50,10:50
3097,1551,Bunnpris Stryn,1.0,6135.1,1,5.166,Mandag,09:30,11:30
3078,1052,Bunnpris Torghallen,0.0,868.0,1,1.0,Mandag,13:05,15:05
3077,1701,Bunnpris Ulsteinvik,1.0,5153.95,2,6.166,Mandag,08:40,10:40
3080,1752,Bunnpris Valderøy,1.0,7652.19,1,7.666,Mandag,17:35,19:35
3089,1201,Bunnpris Valldal,0.5,5461.81,1,5.683,Mandag,08:55,10:55
3075,1151,Bunnpris Vatne,0.0,1380.2,1,2.0,Mandag,07:50,09:50
3081,1401,Bunnpris Vedde,0.5,7354.6,1,7.666,Mandag,16:10,18:10
3066,1501,Bunnpris Volda,0.5,4151.56,1,4.0,Mandag,09:00,11:00
3093,1503,Bunnpris Ørsta,0.5,7559.91,1,8.016,Mandag,17:05,19:05
6672,1151,Burger King Digernes Avd 5065,0.0,300.0,1,0.5,Mandag,07:25,09:25
9018,1107,Eurospar Blindheim,0.0,9289.35,1,9.35,Mandag,15:55,17:55
6360,1701,Eurospar Hareid,1.02,13225.23,1,11.569,Mandag,07:05,09:05
9200,1108,Eurospar Larsgården,0.0,7111.91,1,6.72,Mandag,18:55,20:55
