customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
6644,Nilsgardstunet,Innviksvegen,6793.0,62.38134,6.99045,07:25,09:25,0.5,0.0,300.0,0.0,1,5201,5.9
9258,Nor F. Color Line,Skateflukaia,6002.0,62.470251614743745,6.187488869036236,09:40,11:40,0.5,0.0,92.3,0.0,1,5051,9.9
8075,Nor F. Skansekaia 4,SKANSEKAIA 4A,6002.0,62.47531643197725,6.151069709510804,11:15,13:15,1.5,0.5,618.0,0.0,1,5052,6.9
2393,Nor F. Vard Brattvåg,Brattvåg,6270.0,62.59061,6.446,11:30,13:30,1.0,0.5,874.62,0.0,1,5151,15.5
7489,Norbruk Vard Søvika,Søvika,6065.0,62.548403034176104,6.274702915075471,10:00,12:00,2.0,0.5,2007.65,0.0,1,5151,10.8
13046,Peppes Pizza Amfi Moa Avd.319,Langelandsvegen 47,6010.0,62.466442,6.351237,09:20,11:20,1.5,1.0,828.93,0.0,1,5101,6.7
13124,Quality Hotel Ulstein,Quality Hotel Ulstein,,62.341006743371274,5.84930015553663,08:25,10:25,2.0,0.5,999.4,0.0,1,5701,9.2
8882,Quality Hotel Waterfront,Quality Hotel Waterfront,,62.4699296,6.1460985,08:30,10:30,0.5,0.0,180.8,0.0,1,5051,12.1
8929,Racoon Coffee,KONGENS GATE 6,6002.0,62.4731906,6.1567012,16:25,18:25,2.5,1.0,1161.7,0.0,1,5054,8.8
8890,Ragnhild's Catering,Ålesund,6002.0,62.4444111,6.1943517,12:30,14:30,1.5,0.5,958.9,0.0,1,5401,6.1
3338,Remmemsvik Kiosk & Gatekjøkken,Remmemsvik,6264.0,62.61504,7.09332,08:55,10:55,0.5,0.0,129.0,0.0,1,5651,5.9
13067,Sabrura Moa,Langelandsvegen 47,6010.0,62.483,6.287,07:50,09:50,0.5,0.0,300.0,0.0,1,5101,3.9
8850,Scandic Parken Hotell Mat,Storgata 16,6002.0,62.4745,6.161,12:10,14:10,1.5,0.0,1302.0,0.0,1,5052,7.8
6788,Slice & Bite,Stranda,6200.0,61.90502,6.72176,10:32,12:32,1.5,0.5,669.3,0.0,1,5551,7.6
6769,Smak Kafe & Catering,Stranda,6200.0,61.90375,6.72028,08:20,10:20,1.0,0.5,655.3,0.0,1,5551,7.5
9055,Spar Eidsnes,SOLAVÅGSEIDET 76,6037.0,62.4273801,6.3156902,16:20,18:20,10.7,0.0,11119.04,0.0,1,5402,17.2
4220,Spar Ellingsøy,Spar Ellingsøy,,62.504485,6.39643,07:50,09:50,8.85,1.0,8630.66,0.0,1,5151,16.3
1845,Spar Fosnavåg,Spar Fosnavåg,,62.328847,5.634835,17:00,19:00,1.5,0.0,1118.07,0.0,1,5702,20.0
2170,Spar Hornindal,Spar Hornindal,,61.9677067,6.5253155,06:50,08:50,8.1,0.0,8827.42,0.0,1,5452,22.8
