algorithm,instance,run,best_cost,iteration_found_best
DRLH,RC1_6_4.TXT,9,17394.02,4999
DRLH,RC1_6_4.TXT,10,16989.42,5000
DRLH,RC1_6_5.TXT,1,18507.36,4931
DRLH,RC1_6_5.TXT,2,18727.36,4964
DRLH,RC1_6_5.TXT,3,18605.36,4955
DRLH,RC1_6_5.TXT,4,18532.33,5000
DRLH,RC1_6_5.TXT,5,18421.72,5000
DRLH,RC1_6_5.TXT,6,18778.08,4975
DRLH,RC1_6_5.TXT,7,18682.59,4962
DRLH,RC1_6_5.TXT,8,18699.18,4987
DRLH,RC1_6_5.TXT,9,18479.74,4952
DRLH,RC1_6_5.TXT,10,18416.33,5000
DRLH,RC1_6_6.TXT,1,18433.33,4998
DRLH,RC1_6_6.TXT,2,18384.31,4996
DRLH,RC1_6_6.TXT,3,18415.64,4979
DRLH,RC1_6_6.TXT,4,18689.58,4994
DRLH,RC1_6_6.TXT,5,18701.78,4992
DRLH,RC1_6_6.TXT,6,18291.61,4926
DRLH,RC1_6_6.TXT,7,18358.37,5000
DRLH,RC1_6_6.TXT,8,18340.33,4996
DRLH,RC1_6_6.TXT,9,18369.67,4996
DRLH,RC1_6_6.TXT,10,18452.11,4995
DRLH,RC1_6_7.TXT,1,17946.69,4998
DRLH,RC1_6_7.TXT,2,18035.31,4995
DRLH,RC1_6_7.TXT,3,18092.92,4995
DRLH,RC1_6_7.TXT,4,17963.21,4995
DRLH,RC1_6_7.TXT,5,18102.65,4996
DRLH,RC1_6_7.TXT,6,18416.67,4976
DRLH,RC1_6_7.TXT,7,18108.35,4995
DRLH,RC1_6_7.TXT,8,18084.43,4796
DRLH,RC1_6_7.TXT,9,18131.02,4919
DRLH,RC1_6_7.TXT,10,18363.12,4998
DRLH,RC1_6_8.TXT,1,17981.78,4996
DRLH,RC1_6_8.TXT,2,17815.71,4991
DRLH,RC1_6_8.TXT,3,18088.39,4995
DRLH,RC1_6_8.TXT,4,17815.39,4946
DRLH,RC1_6_8.TXT,5,18050.42,4996
DRLH,RC1_6_8.TXT,6,18168.62,4984
DRLH,RC1_6_8.TXT,7,17943.28,5000
