Kundenr,Alle kunder,Antall leveranser,Antall min. per lev.,Minutter pr M3
7648,ISS 422536 VIK SKORGEURA ,31,8.870967741935484,22.21789534320993
899,ISS 422542 NORDEA ÅLESUND ,75,4.466666666666667,7.642136321568319
8531,ISS 422547 TUSSA HOVDEBYGDA ,72,4.416666666666667,10.638835295105565
13181,ISS 422565 HARAMSENTERET ,94,15.574468085106384,7.712417846155598
7646,ISS 460080 STATENS VEGVESEN ,47,3.4468085106382977,11.76462898935301
9332,ISS 460367 NCC MOAVEGEN KANT. ,3,1.6666666666666667,3.348333869066752
13247,ISS 471135 HARAM VGS KANTINE ,36,11.916666666666666,14.80283248231424
9303,JACU DRIFT ,1,2.0,10.718113612004288
1177,JAFS FOSNAVÅG ,77,5.662337662337662,7.1828925903850065
3558,JAFS KOKKEN ROLL ,73,4.5479452054794525,11.701908679996505
2825,JEMTEGÅRD ,1,68.0,91.20171673819742
13017,JETS VACUUM ,52,4.365384615384615,4.858634081712808
8576,JOHNNY KIOSK SKATEFLUA ,38,4.7894736842105265,7.01976062616265
554,JOKER BELLINGEN ,101,12.524752475247524,3.161612219288823
796,JOKER FIKSDAL ,102,16.166666666666668,5.8462823405508
13110,JOKER FLATRAKET ,101,13.376237623762377,4.4062747047771476
3550,JOKER GEIRANGER ,5,41.6,3.435284767765666
3615,JOKER GODØY ,153,16.62091503267974,4.100172882830265
2218,JOKER GURSKEN ,199,7.788944723618091,2.540702338313268
5280,JOKER HELLESYLT 708000993239 ,148,17.033783783783782,5.089957272019532
643,JOKER HJELLEDALEN ,110,14.427272727272728,3.766567735917796
4070,JOKER LARSNES ,200,14.935,3.0571124278426276
3210,JOKER LEPSØY ,53,14.716981132075471,4.48989445639639
1126,JOKER LOEN ,202,12.301980198019802,3.3804188726677156
7497,JOKER STADLANDET ,102,15.019607843137255,4.2225323033367985
7755,JOKER STORDAL ,150,17.946666666666665,4.385421035932891
6170,JOKER SÆBØ ,101,8.445544554455445,3.7944048231378082
1890,JOKER TOMREFJORD ,151,14.582781456953642,3.7720382232521428
6011,JOKER UTVIK ,102,12.901960784313726,4.2056672260694095
7018,JOKER VATNE ,158,11.620253164556962,5.149544338249896
1715,JOKER VIKANE ,154,12.616883116883116,3.1901539273077058
4205,JOKER ÅHEIM ,152,20.42105263157895,3.7058912089311966
3148,JOKER ÅRAM ,102,8.735294117647058,3.133009326487033
8579,JORDBÆRPIKENE MOA ,98,2.9081632653061225,9.435836313071116
2829,JORDBÆRSTOVA ,30,13.033333333333333,17.82424744978782
3328,JR ULSTEINVIK AS ,90,6.066666666666666,10.356614661665898
645,JUVET LANDSKAPSHOTELL ,36,7.027777777777778,9.156309421010002
7904,KAFÈ REMATUN ,87,3.6666666666666665,2.161943385141132
5979,KAFE SJØATUNET ,22,1.4090909090909092,5.22129006287444
6747,KAFE STRYN VINTERSKI ,3,1.6666666666666667,5.549389567147614
13219,KAFFEBAREN ULSTEINVIK ,51,4.019607843137255,5.4737928150728505
6731,KANTINA BERTE KANUTTE HUSET ,86,9.5,5.2716037354184015
8944,KANTINE LERSTADVEIEN 545 ,53,2.3773584905660377,8.214591200216969
9305,KANTINE TAFJORD KRAFT ,88,4.159090909090909,7.049823956650132
7943,KAOS KOLLEKTIVET UNGDOMSHUS ,26,4.538461538461538,14.384279688909473
1064,KAUTO BAR OG RESTAURANT ,5,3.2,3.598724252252576
8007,KEBAB 1 ,5,1.4,8.042279411764707
9176,KEISEREN FRUKT OG GRØNT ,6,12.5,31.887755102040817
3539,KHALIFA GATEKJØKKEN ,40,3.3,12.011203176781253
7273,KHAYA BARISTA BAR ,9,5.777777777777778,4.603195680077901
9316,KING'S CORNER ,4,1.5,9.364757296706726
1642,KIOSK VOLDA UNGDOMSKLUBB ,10,4.9,38.63439249388945
9242,KIRKENS BYMISJON AVD. 37900 ,20,7.8,20.53177291859152
355,KIWI 827 ØRSTA ,303,24.58745874587459,2.324328956792463
7642,KIWI 830 SKJELLEBREIDA VOLDA ,303,20.86798679867987,2.8971673076089934
9045,KIWI 832 SUNDGATA ,299,20.869565217391305,2.1159727857822417
2958,KIWI 841 SKODJE ,241,17.58091286307054,1.9507086898888064
