,Kundenr,Alle kunder,Antall leveranser
274,8131,HUSAFJELLHEIMEN REF.3600SYSTO ,15
275,6763,HYDLAPARKEN ,3
276,6597,HYGGE ,5
277,2697,IKORNNES BÅTFORENING ,5
278,2701,IKORNNES FUS BARNEHAGE ,1
279,9319,INDIAN MASALA HOUSE ,15
280,1057,INNVIK AS ,44
281,2700,INNVIK FJORDHOTELL ,55
282,2819,ISEHAUG KAFETERIA ,137
283,7648,ISS 422536 VIK SKORGEURA ,31
284,899,ISS 422542 NORDEA ÅLESUND ,75
285,8531,ISS 422547 TUSSA HOVDEBYGDA ,72
286,13181,ISS 422565 HARAMSENTERET ,94
287,7646,ISS 460080 STATENS VEGVESEN ,47
288,9332,ISS 460367 NCC MOAVEGEN KANT. ,3
289,13247,ISS 471135 HARAM VGS KANTINE ,36
290,9303,JACU DRIFT ,1
291,1177,JAFS FOSNAVÅG ,77
292,3558,JAFS KOKKEN ROLL ,73
293,2825,JEMTEGÅRD ,1
294,13017,JETS VACUUM ,52
295,8576,JOHNNY KIOSK SKATEFLUA ,38
296,554,JOKER BELLINGEN ,101
297,796,JOKER FIKSDAL ,102
298,13110,JOKER FLATRAKET ,101
299,3550,JOKER GEIRANGER ,5
300,3615,JOKER GODØY ,153
301,2218,JOKER GURSKEN ,199
302,5280,JOKER HELLESYLT 708000993239 ,148
303,643,JOKER HJELLEDALEN ,110
304,4070,JOKER LARSNES ,200
305,3210,JOKER LEPSØY ,53
306,1126,JOKER LOEN ,202
307,7497,JOKER STADLANDET ,102
308,7755,JOKER STORDAL ,150
309,6170,JOKER SÆBØ ,101
310,1890,JOKER TOMREFJORD ,151
311,6011,JOKER UTVIK ,102
312,7018,JOKER VATNE ,158
313,1715,JOKER VIKANE ,154
314,4205,JOKER ÅHEIM ,152
315,3148,JOKER ÅRAM ,102
316,8579,JORDBÆRPIKENE MOA ,98
317,2829,JORDBÆRSTOVA ,30
318,3328,JR ULSTEINVIK AS ,90
319,645,JUVET LANDSKAPSHOTELL ,36
320,7904,KAFÈ REMATUN ,87
321,5979,KAFE SJØATUNET ,22
322,6747,KAFE STRYN VINTERSKI ,3
323,13219,KAFFEBAREN ULSTEINVIK ,51
324,6731,KANTINA BERTE KANUTTE HUSET ,86
325,8944,KANTINE LERSTADVEIEN 545 ,53
326,9305,KANTINE TAFJORD KRAFT ,88
327,7943,KAOS KOLLEKTIVET UNGDOMSHUS ,26
328,1064,KAUTO BAR OG RESTAURANT ,5
329,8007,KEBAB 1 ,5
330,9176,KEISEREN FRUKT OG GRØNT ,6
331,3539,KHALIFA GATEKJØKKEN ,40
332,7273,KHAYA BARISTA BAR ,9
333,9316,KING'S CORNER ,4
334,1642,KIOSK VOLDA UNGDOMSKLUBB ,10
335,9242,KIRKENS BYMISJON AVD. 37900 ,20
336,355,KIWI 827 ØRSTA ,303
337,7642,KIWI 830 SKJELLEBREIDA VOLDA ,303
338,9045,KIWI 832 SUNDGATA ,299
339,2958,KIWI 841 SKODJE ,241
340,2936,KIWI 843 VOLDA ,309
341,2935,KIWI 844 SYKKYLVEN ,302
342,9093,KIWI 849 SKARBØVIK ,301
343,2931,KIWI 901 NØRVE ,302
344,2932,KIWI 902 SPJELKAVIK ,301
345,2914,KIWI 903 MÅLØY ,200
346,2920,KIWI 905 EGGESBØNES ,259
347,2927,KIWI 906 DEKNEPOLLEN ,250
348,2908,KIWI 908 KLOKKERSUND ,296
349,2939,KIWI 909 FLISNES ,296
350,2942,KIWI 910 KVERVE ,302
351,2946,KIWI 911 FISKARSTRAND ,302
352,2948,KIWI 912 STRANDA ,298
353,2950,KIWI 913 STRYN ,302
